vic;name;display_aspect_ratio;pixel_clock;v_clock;h_active;v_active
1;DMT0659;4:3;25.175;59.94;640;480
2;480p;4:3;27;59.94;720;480
3;480pH;16:9;27;59.94;720;480
4;720p;16:9;74.25;60;1280;720
5;1080i;16:9;74.25;60;1920;540
6;480i;4:3;27;59.94;1440;240
7;480iH;16:9;27;59.94;1440;240
8;240p;4:3;27;59.826;1440;240
9;240pH;16:9;27;59.826;1440;240
10;480i4x;4:3;54;59.94;2880;240
11;480i4xH;16:9;54;59.94;2880;240
12;240p4x;4:3;54;60;2880;240
13;240p4xH;16:9;54;60;2880;240
14;480p2x;4:3;54;59.94;1440;480
15;480p2xH;16:9;54;59.94;1440;480
16;1080p;16:9;148.5;60;1920;1080
17;576p;4:3;27;50;720;576
18;576pH;16:9;27;50;720;576
19;720p50;16:9;74.25;50;1280;720
20;1080i25;16:9;74.25;50;1920;540
21;576i;4:3;27;50;1440;288
22;576iH;16:9;27;50;1440;288
23;288p;4:3;27;50;1440;288
24;288pH;16:9;27;50;1440;288
25;576i4x;4:3;54;50;2880;288
26;576i4xH;16:9;54;50;2880;288
27;288p4x;4:3;54;50;2880;288
28;288p4xH;16:9;54;50;2880;288
29;576p2x;4:3;54;50;1440;576
30;576p2xH;16:9;54;50;1440;576
31;1080p50;16:9;148.5;50;1920;1080
32;1080p24;16:9;74.25;23.98/24;1920;1080
33;1080p25;16:9;74.25;25;1920;1080
34;1080p30;16:9;74.25;29.97/30;1920;1080
35;480p4x;4:3;108;59.94;2880;240
36;480p4xH;16:9;108;59.94;2880;240
37;576p4x;4:3;108;50;2880;576
38;576p4xH;16:9;108;50;2880;576
39;1080i25;16:9;72;50;1920;540
40;1080i50;16:9;148.5;100;1920;540
41;720p100;16:9;148.5;100;1280;720
42;576p100;4:3;54;100;720;576
43;576p100H;16:9;54;100;720;576
44;576i50;4:3;54;100;1440;576
45;576i50H;16:9;54;100;1440;576
46;1080i60;16:9;148.5;119.88/120;1920;540
47;720p120;16:9;148.5;119.88/120;1280;720
48;480p119;4:3;54;119.88/120;720;576
49;480p119H;16:9;54;119.88/120;720;576
50;480i59;4:3;54;119.88/120;1440;576
51;480i59H;16:9;54;119.88/120;1440;576
52;576p200;4:3;108;200;720;576
53;576p200H;16:9;108;200;720;576
54;576i100;4:3;108;200;1440;288
55;576i100H;16:9;108;200;1440;288
56;480p239;4:3;108;239.76;720;480
57;480p239H;16:9;108;239.76;720;480
58;480i119;4:3;108;239.76;1440;240
59;480i119H;16:9;108;239.76;1440;240
60;720p24;16:9;59.4;23.98/24;1280;720
61;720p25;16:9;74.25;25;1280;720
62;720p30;16:9;74.25;29.97/30;1280;720
63;1080p120;16:9;297;119.88/120;1920;1080
64;1080p100;16:9;297;100;1920;1080
65;720p24;64:27;59.4;23.98/24;1280;720
66;720p25;64:27;74.25;25;1280;720
67;720p30;64:27;74.25;29.97/30;1280;720
68;720p50;64:27;74.25;50;1280;720
69;720p;64:27;74.25;60;1650;750
70;720p100;64:27;148.5;100;1280;720
71;720p120;64:27;148.5;119.88/120;1280;720
72;1080p24;64:27;74.25;23.98/24;1920;1080
73;1080p25;64:27;74.25;25;1920;1080
74;1080p30;64:27;74.25;29.97/30;1920;1080
75;1080p50;64:27;148.5;50;1920;1080
76;1080p;64:27;148.5;60;1920;1080
77;1080p100;64:27;297.0;100;1920;1080
78;1080p120;64:27;297.0;119.88/120;1920;1080
79;720p2x24;64:27;59.4;23.98/24;1680;720
80;720p2x25;64:27;59.4;25;1680;720
81;720p2x30;64:27;59.4;29.97/30;1680;720
82;720p2x50;64:27;82.5;50;1680;720
83;720p2x;64:27;99;60;1680;720
84;720p2x100;64:27;165;100;1680;720
85;720p2x120;64:27;198;119.88/120;1680;720
86;1080p2x24;64:27;99;23.98/24;2560;1080
87;1080p2x25;64:27;90;25;2560;1080
88;1080p2x30;64:27;118.8;29.97/30;2560;1080
89;1080p2x50;64:27;185.625;50;2560;1080
90;1080p2x;64:27;198;60;2560;1080
91;1080p2x100;64:27;371.25;100;2560;1080
92;1080p2x120;64:27;495;119.88/120;2560;1080
93;2160p24;16:9;297;23.98/24;3840;2160
94;2160p25;16:9;297;25;3840;2160
95;2160p30;16:9;297;29.97/30;3840;2160
96;2160p50;16:9;594;50;3840;2160
97;2160p60;16:9;594;60;3840;2160
98;2160p24;256:135;297;23.98/24;4096;2160
99;2160p25;256:135;297;25;4096;2160
100;2160p30;256:135;297;29.97/30;4096;2160
101;2160p50;256:135;594;50;4096;2160
102;2160p;256:135;594;60;4096;2160
103;2160p24;64:27;297;23.98/24;3840;2160
104;2160p25;64:27;297;25;3840;2160
105;2160p30;64:27;297;29.97/30;3840;2160
106;2160p50;64:27;594;50;3840;2160
107;2160p;64:27;594;60;3840;2160
108;720p48;16:9;90;47.96/48;1280;720
109;720p48;64:27;90;47.96/48;1280;720
110;720p2x48;64:27;99;47.96/48;1680;720
111;1080p48;16:9;148.5;47.96/48;1920;1080
112;1080p48;64:27;148.5;47.96/48;1920;1080
113;1080p2x48;64:27;198;47.96/48;2560;1080
114;2160p48;16:9;594;47.96/48;3840;2160
115;2160p48;256:135;594;47.96/48;4096;2160
116;2160p48;64:27;594;47.96/48;3840;2160
117;2160p100;16:9;1188;100;3840;2160
118;2160p120;16:9;1188;119.88/120;3840;2160
119;2160p100;64:27;1188;100;3840;2160
120;2160p120;64:27;1188;119.88/120;3840;2160
121;2160p2x24;64:27;396;23.98/24;5120;2160
122;2160p2x25;64:27;396;25;5120;2160
123;2160p2x30;64:27;396;29.97/30;5120;2160
124;2160p2x48;64:27;742.5;47.96/48;5120;2160
125;2160p2x50;64:27;742.5;50;5120;2160
126;2160p2x;64:27;742.5;60;5120;2160
127;2160p2x100;64:27;1485;100;5120;2160
193;2160p2x120;64:27;1485.0;119.88/120;5120;2160
194;4320p24;16:9;1188.0;23.98/24;7680;4320
195;4320p25;16:9;1188.0;25;7680;4320
196;4320p30;16:9;1188.0;29.97/30;7680;4320
197;4320p48;16:9;2376.0;47.96/48;7680;4320
198;4320p50;16:9;2376.0;50;7680;4320
199;4320p;16:9;2376.0;60;7680;4320
200;4320p100;16:9;4752.0;100;7680;4320
201;4320p120;16:9;4752.0;119.88/120;7680;4320
202;4320p24;64:27;1188.0;23.98/24;7680;4320
203;4320p25;64:27;1188.0;25;7680;4320
